Time,Force,Displacement,PIP count
2.06,151.5,0.0303,1
2.08,152,0.0304,1
2.1,152.5,0.0305,1
2.12,153,0.0306,1
2.14,153.5,0.0307,1
2.16,154,0.0308,1
2.18,154.5,0.0309,1
2.2,155,0.031,1
2.22,155.5,0.0311,1
2.24,156,0.0312,1
2.26,156.5,0.0313,1
2.28,157,0.0314,1
2.3,157.5,0.0315,1
2.32,158,0.0316,1
2.34,158.5,0.0317,1
2.36,159,0.0318,1
2.38,159.5,0.0319,1
2.4,160,0.032,1
2.42,160.5,0.0321,1
2.44,161,0.0322,1
2.46,161.5,0.0323,1
2.48,162,0.0324,1
2.5,162.5,0.0325,1
2.52,163,0.0326,1
2.54,163.5,0.0327,1
2.56,164,0.0328,1
2.58,164.5,0.0329,1
2.6,165,0.033,1
2.62,165.5,0.0331,1
2.64,166,0.0332,1
2.66,166.5,0.0333,1
2.68,167,0.0334,1
2.7,167.5,0.0335,1
2.72,168,0.0336,1
2.74,168.5,0.0337,1
2.76,169,0.0338,1
2.78,169.5,0.0339,1
2.8,170,0.034,1
2.82,170.5,0.0341,1
2.84,171,0.0342,1
2.86,171.5,0.0343,1
2.88,172,0.0344,1
2.9,172.5,0.0345,1
2.92,173,0.0346,1
2.94,173.5,0.0347,1
2.96,174,0.0348,1
2.98,174.5,0.0349,1
3,175,0.035,1
3.02,175.5,0.0351,1
3.04,176,0.0352,1
3.06,176.5,0.0353,1
3.08,177,0.0354,1
3.1,177.5,0.0355,1
3.12,178,0.0356,1
3.14,178.5,0.0357,1
3.16,179,0.0358,1
3.18,179.5,0.0359,1
3.2,180,0.036,1
3.22,180.5,0.0361,1
3.24,181,0.0362,1
3.26,181.5,0.0363,1
3.28,182,0.0364,1
3.3,182.5,0.0365,1
3.32,183,0.0366,1
3.34,183.5,0.0367,1
3.36,184,0.0368,1
3.38,184.5,0.0369,1
3.4,185,0.037,1
3.42,185.5,0.0371,1
3.44,186,0.0372,1
3.46,186.5,0.0373,1
3.48,187,0.0374,1
3.5,187.5,0.0375,1
3.52,188,0.0376,1
3.54,188.5,0.0377,1
3.56,189,0.0378,1
3.58,189.5,0.0379,1
3.6,190,0.038,1
3.62,190.5,0.0381,1
3.64,191,0.0382,1
3.66,191.5,0.0383,1
3.68,192,0.0384,1
3.7,192.5,0.0385,1
3.72,193,0.0386,1
3.74,193.5,0.0387,1
3.76,194,0.0388,1
3.78,194.5,0.0389,1
3.8,195,0.039,1
3.82,195.5,0.0391,1
3.84,196,0.0392,1
3.86,196.5,0.0393,1
3.88,197,0.0394,1
3.9,197.5,0.0395,1
3.92,198,0.0396,1
3.94,198.5,0.0397,1
3.96,199,0.0398,1
3.98,199.5,0.0399,1
4,200,0.04,1
4.02,200.5,0.0401,1
4.04,201,0.0402,1
4.06,201.5,0.0403,1
4.08,202,0.0404,1
4.1,202.5,0.0405,1
4.12,203,0.0406,1
4.14,203.5,0.0407,1
4.16,204,0.0408,1
4.18,204.5,0.0409,1
4.2,205,0.041,1
4.22,205.5,0.0411,1
4.24,206,0.0412,1
4.26,206.5,0.0413,1
4.28,207,0.0414,1
4.3,207.5,0.0415,1
4.32,208,0.0416,1
4.34,208.5,0.0417,1
4.36,209,0.0418,1
4.38,209.5,0.0419,1
4.4,210,0.042,1
4.42,210.5,0.0421,1
4.44,211,0.0422,1
4.46,211.5,0.0423,1
4.48,212,0.0424,1
4.5,212.5,0.0425,1
4.52,213,0.0426,1
4.54,213.5,0.0427,1
4.56,214,0.0428,1
4.58,214.5,0.0429,1
4.6,215,0.043,1
4.62,215.5,0.0431,1
4.64,216,0.0432,1
4.66,216.5,0.0433,1
4.68,217,0.0434,1
4.7,217.5,0.0435,1
4.72,218,0.0436,1
4.74,218.5,0.0437,1
4.76,219,0.0438,1
4.78,219.5,0.0439,1
4.8,220,0.044,1
4.82,220.5,0.0441,1
4.84,221,0.0442,1
4.86,221.5,0.0443,1
4.88,222,0.0444,1
4.9,222.5,0.0445,1
4.92,223,0.0446,1
4.94,223.5,0.0447,1
4.96,224,0.0448,1
4.98,224.5,0.0449,1
5,225,0.045,1
5.02,225.5,0.0451,1
5.04,226,0.0452,1
5.06,226.5,0.0453,1
5.08,227,0.0454,1
5.1,227.5,0.0455,1
5.12,228,0.0456,1
5.14,228.5,0.0457,1
5.16,229,0.0458,1
5.18,229.5,0.0459,1
5.2,230,0.046,1
5.22,230.5,0.0461,1
5.24,231,0.0462,1
5.26,231.5,0.0463,1
5.28,232,0.0464,1
5.3,232.5,0.0465,1
5.32,233,0.0466,1
5.34,233.5,0.0467,1
5.36,234,0.0468,1
5.38,234.5,0.0469,1
5.4,235,0.047,1
5.42,235.5,0.0471,1
5.44,236,0.0472,1
5.46,236.5,0.0473,1
5.48,237,0.0474,1
5.5,237.5,0.0475,1
5.52,238,0.0476,1
5.54,238.5,0.0477,1
5.56,239,0.0478,1
5.58,239.5,0.0479,1
5.6,240,0.048,1
5.62,240.5,0.0481,1
5.64,241,0.0482,1
5.66,241.5,0.0483,1
5.68,242,0.0484,1
5.7,242.5,0.0485,1
5.72,243,0.0486,1
5.74,243.5,0.0487,1
5.76,244,0.0488,1
5.78,244.5,0.0489,1
5.8,245,0.049,1
5.82,245.5,0.0491,1
5.84,246,0.0492,1
5.86,246.5,0.0493,1
5.88,247,0.0494,1
5.9,247.5,0.0495,1
5.92,248,0.0496,1
5.94,248.5,0.0497,1
5.96,249,0.0498,1
5.98,249.5,0.0499,1
6,250,0.05,1
6.02,250.5,0.0501,1
6.04,251,0.0502,1
6.06,251.5,0.0503,1
6.08,252,0.0504,1
6.1,252.5,0.0505,1
6.12,253,0.0506,1
6.14,253.5,0.0507,1
6.16,254,0.0508,1
6.18,254.5,0.0509,1
6.2,255,0.051,1
6.22,255.5,0.0511,1
6.24,256,0.0512,1
6.26,256.5,0.0513,1
6.28,257,0.0514,1
6.3,257.5,0.0515,1
6.32,258,0.0516,1
6.34,258.5,0.0517,1
6.36,259,0.0518,1
6.38,259.5,0.0519,1
6.4,260,0.052,1
6.42,260.5,0.0521,1
6.44,261,0.0522,1
6.46,261.5,0.0523,1
6.48,262,0.0524,1
6.5,262.5,0.0525,1
6.52,263,0.0526,1
6.54,263.5,0.0527,1
6.56,264,0.0528,1
6.58,264.5,0.0529,1
6.6,265,0.053,1
6.62,265.5,0.0531,1
6.64,266,0.0532,1
6.66,266.5,0.0533,1
6.68,267,0.0534,1
6.7,267.5,0.0535,1
6.72,268,0.0536,1
6.74,268.5,0.0537,1
6.76,269,0.0538,1
6.78,269.5,0.0539,1
6.8,270,0.054,1
6.82,270.5,0.0541,1
6.84,271,0.0542,1
6.86,271.5,0.0543,1
6.88,272,0.0544,1
6.9,272.5,0.0545,1
6.92,273,0.0546,1
6.94,273.5,0.0547,1
6.96,274,0.0548,1
6.98,274.5,0.0549,1
7,275,0.055,1
7.02,275.5,0.0551,1
7.04,276,0.0552,1
7.06,276.5,0.0553,1
7.08,277,0.0554,1
7.1,277.5,0.0555,1
7.12,278,0.0556,1
7.14,278.5,0.0557,1
7.16,279,0.0558,1
7.18,279.5,0.0559,1
7.2,280,0.056,1
7.22,280.5,0.0561,1
7.24,281,0.0562,1
7.26,281.5,0.0563,1
7.28,282,0.0564,1
7.3,282.5,0.0565,1
7.32,283,0.0566,1
7.34,283.5,0.0567,1
7.36,284,0.0568,1
7.38,284.5,0.0569,1
7.4,285,0.057,1
7.42,285.5,0.0571,1
7.44,286,0.0572,1
7.46,286.5,0.0573,1
7.48,287,0.0574,1
7.5,287.5,0.0575,1
7.52,288,0.0576,1
7.54,288.5,0.0577,1
7.56,289,0.0578,1
7.58,289.5,0.0579,1
7.6,290,0.058,1
7.62,290.5,0.0581,1
7.64,291,0.0582,1
7.66,291.5,0.0583,1
7.68,292,0.0584,1
7.7,292.5,0.0585,1
7.72,293,0.0586,1
7.74,293.5,0.0587,1
7.76,294,0.0588,1
7.78,294.5,0.0589,1
7.8,295,0.059,1
7.82,295.5,0.0591,1
7.84,296,0.0592,1
7.86,296.5,0.0593,1
7.88,297,0.0594,1
7.9,297.5,0.0595,1
7.92,298,0.0596,1
7.94,298.5,0.0597,1
7.96,299,0.0598,1
7.98,299.5,0.0599,1
8,300,0.06,1
8.02,300.5,0.0601,1
8.04,301,0.0602,1
8.06,301.5,0.0603,1
8.08,302,0.0604,1
8.1,302.5,0.0605,1
8.12,303,0.0606,1
8.14,303.5,0.0607,1
8.16,304,0.0608,1
8.18,304.5,0.0609,1
8.2,305,0.061,1
8.22,305.5,0.0611,1
8.24,306,0.0612,1
8.26,306.5,0.0613,1
8.28,307,0.0614,1
8.3,307.5,0.0615,1
8.32,308,0.0616,1
8.34,308.5,0.0617,1
8.36,309,0.0618,1
8.38,309.5,0.0619,1
8.4,310,0.062,1
8.42,310.5,0.0621,1
8.44,311,0.0622,1
8.46,311.5,0.0623,1
8.48,312,0.0624,1
8.5,312.5,0.0625,1
8.52,313,0.0626,1
8.54,313.5,0.0627,1
8.56,314,0.0628,1
8.58,314.5,0.0629,1
8.6,315,0.063,1
8.62,315.5,0.0631,1
8.64,316,0.0632,1
8.66,316.5,0.0633,1
8.68,317,0.0634,1
8.7,317.5,0.0635,1
8.72,318,0.0636,1
8.74,318.5,0.0637,1
8.76,319,0.0638,1
8.78,319.5,0.0639,1
8.8,320,0.064,1
8.82,320.5,0.0641,1
8.84,321,0.0642,1
8.86,321.5,0.0643,1
8.88,322,0.0644,1
8.9,322.5,0.0645,1
8.92,323,0.0646,1
8.94,323.5,0.0647,1
8.96,324,0.0648,1
8.98,324.5,0.0649,1
9,325,0.065,1
9.02,325.5,0.0651,1
9.04,326,0.0652,1
9.06,326.5,0.0653,1
9.08,327,0.0654,1
9.1,327.5,0.0655,1
9.12,328,0.0656,1
9.14,328.5,0.0657,1
9.16,329,0.0658,1
9.18,329.5,0.0659,1
9.2,330,0.066,1
9.22,330.5,0.0661,1
9.24,331,0.0662,1
9.26,331.5,0.0663,1
9.28,332,0.0664,1
9.3,332.5,0.0665,1
9.32,333,0.0666,1
9.34,333.5,0.0667,1
9.36,334,0.0668,1
9.38,334.5,0.0669,1
9.4,335,0.067,1
9.42,335.5,0.0671,1
9.44,336,0.0672,1
9.46,336.5,0.0673,1
9.48,337,0.0674,1
9.5,337.5,0.0675,1
9.52,338,0.0676,1
9.54,338.5,0.0677,1
9.56,339,0.0678,1
9.58,339.5,0.0679,1
9.6,340,0.068,1
9.62,340.5,0.0681,1
9.64,341,0.0682,1
9.66,341.5,0.0683,1
9.68,342,0.0684,1
9.7,342.5,0.0685,1
9.72,343,0.0686,1
9.74,343.5,0.0687,1
9.76,344,0.0688,1
9.78,344.5,0.0689,1
9.8,345,0.069,1
9.82,345.5,0.0691,1
9.84,346,0.0692,1
9.86,346.5,0.0693,1
9.88,347,0.0694,1
9.9,347.5,0.0695,1
9.92,348,0.0696,1
9.94,348.5,0.0697,1
9.96,349,0.0698,1
9.98,349.5,0.0699,1
10,350,0.07,1
10.02,350.5,0.0701,1
10.04,351,0.0702,1
10.06,351.5,0.0703,1
10.08,352,0.0704,1
10.1,352.5,0.0705,1
10.12,353,0.0706,1
10.14,353.5,0.0707,1
10.16,354,0.0708,1
10.18,354.5,0.0709,1
10.2,355,0.071,1
10.22,355.5,0.0711,1
10.24,356,0.0712,1
10.26,356.5,0.0713,1
10.28,357,0.0714,1
10.3,357.5,0.0715,1
10.32,358,0.0716,1
10.34,358.5,0.0717,1
10.36,359,0.0718,1
10.38,359.5,0.0719,1
10.4,360,0.072,1
10.42,360.5,0.0721,1
10.44,361,0.0722,1
10.46,361.5,0.0723,1
10.48,362,0.0724,1
10.5,362.5,0.0725,1
10.52,363,0.0726,1
